레벨시작,레벨끝,지역,지명,우선순위,스타포스
1,10,스토리,스토리,1,0
10,19,새비지터미널,들개들의 사냥터1,3,0
10,19,헤네시스,골렘의사원,2,0
10,19,스토리,스토리,1,0
20,29,엘리니아,초록나무줄기,2,0
20,29,스토리,스토리,1,0
30,49,테마던전,골드비치,2,0
30,49,테마던전,요정학원 엘리넬,3,0
30,49,테마던전,리에나 해협,1,0
50,59,슬리피우드,조용한 습지,1,0
50,59,페리온,와일드보어의 땅,2,0
50,59,슬리피우드,축축한 습지,3,0
60,69,오르비스,하늘계단1,1,0
60,69,슬리피우드,조용한 습지,2,0
60,69,아쿠아로드,모래성 놀이터,3,0
70,79,아리안트,사헬지대2,2,0
70,79,엘나스,얼음골짜기2,1,0
80,89,마가티아,관계자 외 출입금지,3,0
80,89,마가티아,알카드노 연구소 C-2 구역,1,0
80,89,아리안트,벨라노아의 굴,2,0
87,89,리프레,하늘둥지2 (★5),4,1
90,99,리프레,미나르숲 서쪽 경계,2,0
90,99,리프레,리프레 서쪽 숲,3,0
90,99,엘린 숲,이끼나무 숲 오솔길,1,0
90,99,리프레,하늘둥지2 (★5),4,1
90,99,리프레,검은켄타우로스의영역(★15),2,1
