지역,지명,몹개수,몹1exp,몹1레벨,몹2exp,몹2레벨
소멸의여로,풍화된 분노의 땅,22,101389,201,,
소멸의여로,풍화된 슬픔의 땅,23,104101,202,,
소멸의여로,화염의 영토,26,112662,205,,
소멸의여로,숨겨진 호숫가,35,217564,209,,
소멸의여로,숨겨진 화염지대,26,217564,209,,
소멸의여로,숨겨진 동굴,29,217564,209,,
리버스시티,지하선로 1,19,112662,205,,
리버스시티,지하선로 2,19,112662,205,,
리버스시티,지하선로 3,19,112662,205,,
리버스시티,지하선로 4,19,112662,205,,
리버스시티,지하선로 5,19,112662,205,,
리버스시티,지하선로 6,19,112662,205,,
리버스시티,연구열차 1,20,115470,206,,
리버스시티,연구열차 2,20,115470,206,,
리버스시티,연구열차 3,20,115470,206,,
리버스시티,숨겨진 연구열차,21,248003,210,,
리버스시티,지하열차 1,20,118598,207,,
리버스시티,지하열차 2,20,118598,207,121453,208
리버스시티,지하열차 3,20,121453,208,,
리버스시티,숨겨진 지하열차,21,253673,211,260047,212
리버스시티,지상열차 1,20,118598,207,,
리버스시티,지상열차 2,20,118598,207,121453,208
리버스시티,지상열차 3,20,121453,208,,
리버스시티,숨겨진 M타워,31,265808,213,,
츄츄아일랜드,동산 입구,31,248003,210,,
츄츄아일랜드,알록달록 숲지대 1,31,253673,211,,
츄츄아일랜드,알록달록 숲지대 2,33,248003,210,,
츄츄아일랜드,오색동산 깊은곳,30,253673,211,,
츄츄아일랜드,몽땅 동굴숲 1,22,260047,212,265808,213
츄츄아일랜드,츄릅포레스트 깊은 곳,21,265808,213,,
츄츄아일랜드,격류지대 1,28,271621,214,284043,216
츄츄아일랜드,격류지대 2,24,278138,215,,
츄츄아일랜드,격류지대 3,28,278138,215,284043,216
츄츄아일랜드,폭포아래,24,278138,215,284043,216
츄츄아일랜드,고래산 초입,19,290679,217,,
츄츄아일랜드,고래산 중턱 1,19,290679,217,303394,219
츄츄아일랜드,고래산 중턱 2,19,296653,218,,
츄츄아일랜드,고래산 정상,19,303394,219,,
츄츄아일랜드,거대한 꼬리,20,303394,219,,
얌얌아일랜드,머쉬버드 숲 1,21,278138,215,,
얌얌아일랜드,머쉬버드 숲 2,21,278138,215,284043,216
얌얌아일랜드,머쉬버드 숲 3,22,284043,216,,
얌얌아일랜드,머쉬버드 숲 4,21,278138,215,,
얌얌아일랜드,머쉬버드 숲 5,21,278138,215,284043,216
얌얌아일랜드,머쉬버드 숲 6,21,284043,216,,
얌얌아일랜드,숨겨진 머쉬버드 숲,24,309470,220,,
얌얌아일랜드,일리야드 들판 1,21,290679,217,,
얌얌아일랜드,일리야드 들판 2,21,290679,217,296653,218
얌얌아일랜드,일리야드 들판 3,21,296653,218,,
얌얌아일랜드,숨겨진 일리야드 들판,24,309470,220,,
얌얌아일랜드,일리야드 들판 4,21,290679,217,,
얌얌아일랜드,일리야드 들판 5,21,290679,217,296653,218
얌얌아일랜드,일리야드 들판 6,21,296653,218,,
얌얌아일랜드,펑고스 숲 1,22,303394,219,,
얌얌아일랜드,펑고스 숲 2,22,303394,219,,
얌얌아일랜드,펑고스 숲 3,22,303394,219,,
얌얌아일랜드,펑고스 숲 4,22,303394,219,,
얌얌아일랜드,펑고스 숲 5,22,303394,219,,
얌얌아일랜드,펑고스 숲 6,22,303394,219,,
얌얌아일랜드,숨겨진 펑고스 숲,22,309470,220,,
레헬른,무법자들의 거리 1,27,309470,220,,
레헬른,무법자들의 거리 2,29,309470,220,316316,221
레헬른,무법자들의 거리 3,29,316316,221,,
레헬른,닭이 뛰노는 곳 1,26,316316,221,,
레헬른,닭이 뛰노는 곳 2,22,322473,222,,
레헬른,닭이 뛰노는 곳 3,38,316316,221,322473,222
레헬른,우승 접시의 거리 1,30,322473,222,,
레헬른,우승 접시의 거리 2,30,329417,223,,
레헬른,본색을 드러내는 곳 1,30,329417,223,,
레헬른,본색을 드러내는 곳 2,21,335675,224,,
레헬른,본색을 드러내는 곳 3,21,329417,223,335675,224
레헬른,춤추는 구두 점령지 1,28,335675,224,,
레헬른,춤추는 구두 점령지 2,30,342720,225,,
레헬른,악몽의 시계탑 1층,26,347836,226,,
레헬른,악몽의 시계탑 2층,28,349836,226,,
레헬른,악몽의 시계탑 5층,27,356216,227,363430,228
아르카나,물의 숲,28,393361,230,,
아르카나,햇살의 숲,27,401055,231,,
아르카나,물과 햇살의 숲,33,393361,230,401055,231
아르카나,흙의 숲,28,408788,232,,
아르카나,햇살과 흙의 숲,25,401055,231,408788,231
아르카나,서리 구름의 숲,22,415702,233,,
아르카나,번개 구름의 숲,25,423542,234,,
아르카나,서리와 번개의 숲 1,22,415702,233,423542,234
아르카나,서리와 번개의 숲 2,20,415702,233,423542,234
아르카나,맹독의 숲,27,431459,235,,
아르카나,폭발의 숲,27,439452,236,,
아르카나,맹독과 폭발의 숲 1,29,431459,235,439452,236
아르카나,맹독과 폭발의 숲 2,31,431459,235,439452,236
아르카나,동굴 아랫길,20,446505,237,,
아르카나,동굴 아랫길 깊은곳 1,22,454588,238,,
아르카나,동굴 아랫길 깊은곳 2,23,462670,239,,
아르카나,동굴 아랫길 깊디 깊은곳,28,454588,238,462670,239
아르카나,동굴 윗길,29,446505,237,,
아르카나,동굴 윗길 깊은곳 1,32,446505,237,454564,238
아르카나,동굴 윗길 깊은곳 2,28,454564,238,,
아르카나,동굴 윗길 깊디 깊은곳,26,454564,238,462670,239
아르카나,다섯 갈래 동굴,29,454564,238,462670,239
아르카나,다섯 갈래 동굴 윗길,28,462670,239,470825,240
아르카나,다섯 갈래 동굴 사잇길,28,462670,239,470825,240
아르카나,다섯 갈래 동굴 아랫길,28,470825,240,,
아르카나,정령의 나무 밑 동굴,29,470825,240,,
모라스,형님들 구역 2,32,454564,238,,
모라스,그림자가 춤추는 곳 2,37,470825,239,,
모라스,그림자가 춤추는 곳 3,37,470825,239,470825,240
모라스,그림자가 춤추는 곳 4,33,470825,240,,
모라스,폐쇄 구역,31,485624,241,,
모라스,폐쇄 구역 2,37,485624,241,,
모라스,폐쇄 구역 3,37,485624,241,,
모라스,그날의 트뤼에페 2,27,494006,242,,
모라스,그날의 트뤼에페 3,35,501461,243,509964,244
모라스,그날의 트뤼에페 4,32,509964,244,518511,245
에스페라,거울빛에 물든 바다 2,23,509964,244,,
